Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Jahn Regensburg,Nürnberg,2-2,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-nurnberg/202216289,2022,6,2_liga,51,57,4,0,3,0,,2022
Hansa Rostock,Darmstadt 98,2-1,https://www.besoccer.com/match/hansa-rostock/darmstadt-98/202216290,2022,6,2_liga,55,58,2,0,4,0,,2022
Nürnberg,Hansa Rostock,1-0,https://www.besoccer.com/match/fc-nurnberg/hansa-rostock/202216298,2022,7,2_liga,57,55,0,0,3,0,,2022
Schalke 04,Karlsruher SC,1-2,https://www.besoccer.com/match/schalke-04/karlsruher-sc/202216293,2022,7,2_liga,61,57,3,1,1,1,,2022
Holstein Kiel,Hannover 96,0-3,https://www.besoccer.com/match/holstein-kiel/hannover-96/202216294,2022,7,2_liga,55,51,0,1,1,1,,2022
Fortuna Düsseldorf,Jahn Regensburg,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/ssv-jahn-regensburg/202216295,2022,7,2_liga,55,52,1,0,4,0,,2022
Sandhausen,Heidenheim,1-3,https://www.besoccer.com/match/sv-sandhausen/heidenheim/202216300,2022,7,2_liga,50,61,1,0,0,0,,2022
Werder Bremen,Hamburger SV,0-2,https://www.besoccer.com/match/werder-bremen/hamburger-sv/202216292,2022,7,2_liga,59,61,6,1,3,1,,2022
Darmstadt 98,Dynamo Dresden,1-0,https://www.besoccer.com/match/darmstadt-98/sg-dynamo-dresden/202216296,2022,7,2_liga,58,52,2,1,5,1,,2022
FC St. Pauli,Ingolstadt 04,4-1,https://www.besoccer.com/match/st-pauli/fc-ingolstadt-04/202216297,2022,7,2_liga,56,55,0,0,1,0,,2022
Erzgebirge Aue,Paderborn,1-4,https://www.besoccer.com/match/fc-erzgebirge-aue/paderborn/202216299,2022,7,2_liga,51,56,0,0,0,0,,2022
Heidenheim,Darmstadt 98,2-1,https://www.besoccer.com/match/heidenheim/darmstadt-98/202216303,2022,8,2_liga,64,61,2,0,2,0,,2022
Jahn Regensburg,Erzgebirge Aue,3-2,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-erzgebirge-aue/202216305,2022,8,2_liga,55,53,2,0,4,0,,2022
Karlsruher SC,FC St. Pauli,1-3,https://www.besoccer.com/match/karlsruher-sc/st-pauli/202216302,2022,8,2_liga,60,58,6,0,2,0,,2022
Ingolstadt 04,Fortuna Düsseldorf,1-2,https://www.besoccer.com/match/fc-ingolstadt-04/fortuna-dusseldorf/202216308,2022,8,2_liga,53,58,4,0,3,0,,2022
Paderborn,Holstein Kiel,1-2,https://www.besoccer.com/match/paderborn/holstein-kiel/202216309,2022,8,2_liga,60,58,4,1,2,1,,2022
Hansa Rostock,Schalke 04,0-2,https://www.besoccer.com/match/hansa-rostock/schalke-04/202216307,2022,8,2_liga,53,61,3,0,2,0,,2022
Hamburger SV,Nürnberg,2-2,https://www.besoccer.com/match/hamburger-sv/fc-nurnberg/202216301,2022,8,2_liga,61,60,3,0,2,0,,2022
Hannover 96,Sandhausen,1-2,https://www.besoccer.com/match/hannover-96/sv-sandhausen/202216304,2022,8,2_liga,54,52,3,0,2,0,,2022
Dynamo Dresden,Werder Bremen,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/werder-bremen/202216306,2022,8,2_liga,51,70,1,0,3,0,,2022
Erzgebirge Aue,Hamburger SV,1-1,https://www.besoccer.com/match/fc-erzgebirge-aue/hamburger-sv/202216316,2022,9,2_liga,53,62,2,1,3,1,,2022
Werder Bremen,Heidenheim,3-0,https://www.besoccer.com/match/werder-bremen/heidenheim/202216310,2022,9,2_liga,70,64,0,0,0,0,,2022
Holstein Kiel,Hansa Rostock,0-2,https://www.besoccer.com/match/holstein-kiel/hansa-rostock/202216312,2022,9,2_liga,58,53,4,0,4,0,,2022
Fortuna Düsseldorf,Paderborn,2-3,https://www.besoccer.com/match/fortuna-dusseldorf/paderborn/202216313,2022,9,2_liga,59,60,3,0,1,0,,2022
Jahn Regensburg,Karlsruher SC,2-2,https://www.besoccer.com/match/ssv-jahn-regensburg/karlsruher-sc/202216317,2022,9,2_liga,55,60,1,0,3,0,,2022
Nürnberg,Hannover 96,0-0,https://www.besoccer.com/match/fc-nurnberg/hannover-96/202216315,2022,9,2_liga,60,55,1,1,1,1,,2022
Schalke 04,Ingolstadt 04,3-0,https://www.besoccer.com/match/schalke-04/fc-ingolstadt-04/202216311,2022,9,2_liga,61,53,1,0,1,0,,2022
FC St. Pauli,Dynamo Dresden,3-0,https://www.besoccer.com/match/st-pauli/sg-dynamo-dresden/202216314,2022,9,2_liga,58,50,1,0,2,0,,2022
Sandhausen,Darmstadt 98,1-6,https://www.besoccer.com/match/sv-sandhausen/darmstadt-98/202216318,2022,9,2_liga,52,61,3,0,1,0,,2022
Paderborn,Jahn Regensburg,1-1,https://www.besoccer.com/match/paderborn/ssv-jahn-regensburg/202216323,2022,10,2_liga,60,55,1,0,3,0,,2022
Hannover 96,Schalke 04,0-1,https://www.besoccer.com/match/hannover-96/schalke-04/202216324,2022,10,2_liga,55,61,2,0,2,0,,2022
Karlsruher SC,Erzgebirge Aue,2-1,https://www.besoccer.com/match/karlsruher-sc/fc-erzgebirge-aue/202216320,2022,10,2_liga,60,54,1,1,4,1,,2022
Heidenheim,FC St. Pauli,2-4,https://www.besoccer.com/match/heidenheim/st-pauli/202216322,2022,10,2_liga,64,58,3,0,2,0,,2022
Ingolstadt 04,Holstein Kiel,1-1,https://www.besoccer.com/match/fc-ingolstadt-04/holstein-kiel/202216327,2022,10,2_liga,53,58,4,0,2,0,,2022
Hamburger SV,Fortuna Düsseldorf,1-1,https://www.besoccer.com/match/hamburger-sv/fortuna-dusseldorf/202216319,2022,10,2_liga,62,59,2,0,1,0,,2022
Darmstadt 98,Werder Bremen,3-0,https://www.besoccer.com/match/darmstadt-98/werder-bremen/202216321,2022,10,2_liga,61,70,4,0,3,0,,2022
Dynamo Dresden,Nürnberg,0-1,https://www.besoccer.com/match/sg-dynamo-dresden/fc-nurnberg/202216325,2022,10,2_liga,50,60,2,0,4,0,,2022
Hansa Rostock,Sandhausen,1-1,https://www.besoccer.com/match/hansa-rostock/sv-sandhausen/202216326,2022,10,2_liga,53,52,2,0,4,0,,2022
Erzgebirge Aue,Ingolstadt 04,1-0,https://www.besoccer.com/match/fc-erzgebirge-aue/fc-ingolstadt-04/202216334,2022,11,2_liga,54,53,3,1,2,1,,2022
Paderborn,Hamburger SV,1-2,https://www.besoccer.com/match/paderborn/hamburger-sv/202216331,2022,11,2_liga,60,62,2,0,5,0,,2022
Holstein Kiel,Darmstadt 98,1-1,https://www.besoccer.com/match/holstein-kiel/darmstadt-98/202216329,2022,11,2_liga,58,61,4,0,3,0,,2022
Fortuna Düsseldorf,Karlsruher SC,3-1,https://www.besoccer.com/match/fortuna-dusseldorf/karlsruher-sc/202216330,2022,11,2_liga,59,61,0,0,1,0,,2022
Nürnberg,Heidenheim,4-0,https://www.besoccer.com/match/fc-nurnberg/heidenheim/202216333,2022,11,2_liga,60,64,0,0,3,0,,2022
Schalke 04,Dynamo Dresden,3-0,https://www.besoccer.com/match/schalke-04/sg-dynamo-dresden/202216328,2022,11,2_liga,61,50,2,0,2,0,,2022
FC St. Pauli,Hansa Rostock,4-0,https://www.besoccer.com/match/st-pauli/hansa-rostock/202216332,2022,11,2_liga,58,53,0,0,2,0,,2022
Jahn Regensburg,Hannover 96,3-1,https://www.besoccer.com/match/ssv-jahn-regensburg/hannover-96/202216335,2022,11,2_liga,55,55,0,0,2,0,,2022
Sandhausen,Werder Bremen,2-2,https://www.besoccer.com/match/sv-sandhausen/werder-bremen/202216336,2022,11,2_liga,52,70,4,0,4,0,,2022
Darmstadt 98,Nürnberg,2-0,https://www.besoccer.com/match/darmstadt-98/fc-nurnberg/202216340,2022,12,2_liga,61,60,2,0,3,0,,2022
Heidenheim,Schalke 04,1-0,https://www.besoccer.com/match/heidenheim/schalke-04/202216341,2022,12,2_liga,64,61,3,0,1,0,,2022
Werder Bremen,FC St. Pauli,1-1,https://www.besoccer.com/match/werder-bremen/st-pauli/202216337,2022,12,2_liga,70,59,4,0,2,0,,2022
Hannover 96,Erzgebirge Aue,1-1,https://www.besoccer.com/match/hannover-96/fc-erzgebirge-aue/202216342,2022,12,2_liga,55,54,4,0,2,0,,2022
Dynamo Dresden,Sandhausen,0-1,https://www.besoccer.com/match/sg-dynamo-dresden/sv-sandhausen/202216343,2022,12,2_liga,51,52,1,0,2,0,,2022
Hamburger SV,Holstein Kiel,1-1,https://www.besoccer.com/match/hamburger-sv/holstein-kiel/202216338,2022,12,2_liga,62,58,3,0,4,0,,2022
Karlsruher SC,Paderborn,2-4,https://www.besoccer.com/match/karlsruher-sc/paderborn/202216339,2022,12,2_liga,60,60,5,0,0,0,,2022
Hansa Rostock,Fortuna Düsseldorf,2-1,https://www.besoccer.com/match/hansa-rostock/fortuna-dusseldorf/202216344,2022,12,2_liga,53,59,1,0,1,0,,2022
Ingolstadt 04,Jahn Regensburg,0-3,https://www.besoccer.com/match/fc-ingolstadt-04/ssv-jahn-regensburg/202216345,2022,12,2_liga,53,55,1,0,1,0,,2022
Nürnberg,Werder Bremen,1-2,https://www.besoccer.com/match/fc-nurnberg/werder-bremen/202216352,2022,13,2_liga,60,70,4,0,4,0,,2022
Holstein Kiel,Dynamo Dresden,2-1,https://www.besoccer.com/match/holstein-kiel/sg-dynamo-dresden/202216347,2022,13,2_liga,58,50,1,0,3,0,,2022
Fortuna Düsseldorf,Hannover 96,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/hannover-96/202216348,2022,13,2_liga,59,55,1,0,1,0,,2022
Paderborn,Ingolstadt 04,2-1,https://www.besoccer.com/match/paderborn/fc-ingolstadt-04/202216350,2022,13,2_liga,61,53,0,0,1,0,,2022
Jahn Regensburg,Hansa Rostock,2-3,https://www.besoccer.com/match/ssv-jahn-regensburg/hansa-rostock/202216354,2022,13,2_liga,54,53,1,0,6,0,,2022
Karlsruher SC,Hamburger SV,1-1,https://www.besoccer.com/match/karlsruher-sc/hamburger-sv/202216349,2022,13,2_liga,60,62,3,0,1,0,,2022
Schalke 04,Darmstadt 98,2-4,https://www.besoccer.com/match/schalke-04/darmstadt-98/202216346,2022,13,2_liga,61,61,2,0,2,0,,2022
Erzgebirge Aue,Heidenheim,2-0,https://www.besoccer.com/match/fc-erzgebirge-aue/heidenheim/202216353,2022,13,2_liga,54,64,1,0,3,0,,2022
FC St. Pauli,Sandhausen,3-1,https://www.besoccer.com/match/st-pauli/sv-sandhausen/202216351,2022,13,2_liga,58,54,1,0,3,0,,2022
Hannover 96,Paderborn,0-0,https://www.besoccer.com/match/hannover-96/paderborn/202216359,2022,14,2_liga,55,61,2,1,2,1,,2022
Sandhausen,Nürnberg,1-2,https://www.besoccer.com/match/sv-sandhausen/fc-nurnberg/202216360,2022,14,2_liga,54,59,3,0,1,0,,2022
Hamburger SV,Jahn Regensburg,4-1,https://www.besoccer.com/match/hamburger-sv/ssv-jahn-regensburg/202216356,2022,14,2_liga,62,55,1,0,2,0,,2022
Darmstadt 98,FC St. Pauli,4-0,https://www.besoccer.com/match/darmstadt-98/st-pauli/202216357,2022,14,2_liga,61,59,3,0,1,0,,2022
Hansa Rostock,Erzgebirge Aue,1-2,https://www.besoccer.com/match/hansa-rostock/fc-erzgebirge-aue/202216362,2022,14,2_liga,53,54,5,0,3,0,,2022
Werder Bremen,Schalke 04,1-1,https://www.besoccer.com/match/werder-bremen/schalke-04/202216355,2022,14,2_liga,70,62,1,0,4,0,,2022
Heidenheim,Holstein Kiel,2-1,https://www.besoccer.com/match/heidenheim/holstein-kiel/202216358,2022,14,2_liga,64,58,1,0,2,0,,2022
Dynamo Dresden,Fortuna Düsseldorf,1-0,https://www.besoccer.com/match/sg-dynamo-dresden/fortuna-dusseldorf/202216361,2022,14,2_liga,51,59,3,0,2,0,,2022
Ingolstadt 04,Karlsruher SC,1-1,https://www.besoccer.com/match/fc-ingolstadt-04/karlsruher-sc/202216363,2022,14,2_liga,54,60,0,0,1,0,,2022
Jahn Regensburg,Dynamo Dresden,3-1,https://www.besoccer.com/match/ssv-jahn-regensburg/sg-dynamo-dresden/202216372,2022,15,2_liga,55,51,2,0,3,0,,2022
Fortuna Düsseldorf,Heidenheim,0-1,https://www.besoccer.com/match/fortuna-dusseldorf/heidenheim/202216367,2022,15,2_liga,59,64,3,0,0,0,,2022
Schalke 04,Sandhausen,5-2,https://www.besoccer.com/match/schalke-04/sv-sandhausen/202216364,2022,15,2_liga,61,54,1,0,1,0,,2022
Karlsruher SC,Hannover 96,4-0,https://www.besoccer.com/match/karlsruher-sc/hannover-96/202216368,2022,15,2_liga,61,55,1,0,2,0,,2022
Erzgebirge Aue,Darmstadt 98,1-2,https://www.besoccer.com/match/fc-erzgebirge-aue/darmstadt-98/202216371,2022,15,2_liga,54,61,0,0,1,0,,2022
Holstein Kiel,Werder Bremen,2-1,https://www.besoccer.com/match/holstein-kiel/werder-bremen/202216365,2022,15,2_liga,58,70,2,0,1,0,,2022
Hamburger SV,Ingolstadt 04,3-0,https://www.besoccer.com/match/hamburger-sv/fc-ingolstadt-04/202216366,2022,15,2_liga,62,54,1,0,0,0,,2022
Paderborn,Hansa Rostock,1-1,https://www.besoccer.com/match/paderborn/hansa-rostock/202216369,2022,15,2_liga,61,53,2,0,1,0,,2022
Nürnberg,FC St. Pauli,2-3,https://www.besoccer.com/match/fc-nurnberg/st-pauli/202216370,2022,15,2_liga,59,59,0,0,2,0,,2022
Werder Bremen,Erzgebirge Aue,4-0,https://www.besoccer.com/match/werder-bremen/fc-erzgebirge-aue/202216373,2022,16,2_liga,70,54,2,0,2,0,,2022
Darmstadt 98,Fortuna Düsseldorf,1-3,https://www.besoccer.com/match/darmstadt-98/fortuna-dusseldorf/202216374,2022,16,2_liga,61,59,2,0,1,0,,2022
Nürnberg,Holstein Kiel,2-1,https://www.besoccer.com/match/fc-nurnberg/holstein-kiel/202216377,2022,16,2_liga,59,58,2,0,1,0,,2022
Sandhausen,Paderborn,1-1,https://www.besoccer.com/match/sv-sandhausen/paderborn/202216379,2022,16,2_liga,54,61,3,0,4,0,,2022
Hansa Rostock,Ingolstadt 04,1-1,https://www.besoccer.com/match/hansa-rostock/fc-ingolstadt-04/202216381,2022,16,2_liga,53,54,3,0,2,0,,2022
FC St. Pauli,Schalke 04,2-1,https://www.besoccer.com/match/st-pauli/schalke-04/202216376,2022,16,2_liga,59,61,1,0,2,0,,2022
Heidenheim,Jahn Regensburg,3-0,https://www.besoccer.com/match/heidenheim/ssv-jahn-regensburg/202216375,2022,16,2_liga,64,55,2,0,1,0,,2022
Hannover 96,Hamburger SV,1-0,https://www.besoccer.com/match/hannover-96/hamburger-sv/202216378,2022,16,2_liga,55,62,2,0,2,0,,2022
Dynamo Dresden,Karlsruher SC,3-1,https://www.besoccer.com/match/sg-dynamo-dresden/karlsruher-sc/202216380,2022,16,2_liga,51,61,1,0,2,0,,2022
Schalke 04,Nürnberg,4-1,https://www.besoccer.com/match/schalke-04/fc-nurnberg/202216382,2022,17,2_liga,61,59,2,0,1,0,,2022
Jahn Regensburg,Werder Bremen,2-3,https://www.besoccer.com/match/ssv-jahn-regensburg/werder-bremen/202216389,2022,17,2_liga,55,70,2,0,2,0,,2022
Holstein Kiel,Sandhausen,2-2,https://www.besoccer.com/match/holstein-kiel/sv-sandhausen/202216383,2022,17,2_liga,58,54,2,0,5,0,,2022
Paderborn,Darmstadt 98,0-1,https://www.besoccer.com/match/paderborn/darmstadt-98/202216387,2022,17,2_liga,61,62,2,0,4,0,,2022
Ingolstadt 04,Hannover 96,1-2,https://www.besoccer.com/match/fc-ingolstadt-04/hannover-96/202216390,2022,17,2_liga,54,56,4,0,2,0,,2022
Fortuna Düsseldorf,FC St. Pauli,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/st-pauli/202216385,2022,17,2_liga,60,59,2,0,1,0,,2022
Hamburger SV,Hansa Rostock,3-0,https://www.besoccer.com/match/hamburger-sv/hansa-rostock/202216384,2022,17,2_liga,62,55,4,0,4,0,,2022
Karlsruher SC,Heidenheim,3-2,https://www.besoccer.com/match/karlsruher-sc/heidenheim/202216386,2022,17,2_liga,60,63,1,0,2,0,,2022
Erzgebirge Aue,Dynamo Dresden,0-1,https://www.besoccer.com/match/fc-erzgebirge-aue/sg-dynamo-dresden/202216388,2022,17,2_liga,54,51,1,0,1,0,,2022
Fortuna Düsseldorf,Sandhausen,0-1,https://www.besoccer.com/match/fortuna-dusseldorf/sv-sandhausen/202216397,2022,18,2_liga,60,54,0,0,0,0,,2022
Holstein Kiel,FC St. Pauli,3-0,https://www.besoccer.com/match/holstein-kiel/st-pauli/202216395,2022,18,2_liga,58,59,2,0,4,0,,2022
Paderborn,Heidenheim,1-2,https://www.besoccer.com/match/paderborn/heidenheim/202216394,2022,18,2_liga,61,63,3,0,3,0,,2022
Erzgebirge Aue,Nürnberg,1-3,https://www.besoccer.com/match/fc-erzgebirge-aue/fc-nurnberg/202216396,2022,18,2_liga,54,59,1,0,2,0,,2022
Ingolstadt 04,Dynamo Dresden,3-0,https://www.besoccer.com/match/fc-ingolstadt-04/sg-dynamo-dresden/202216398,2022,18,2_liga,54,51,3,0,1,0,,2022
Hamburger SV,Schalke 04,1-1,https://www.besoccer.com/match/hamburger-sv/schalke-04/202216391,2022,18,2_liga,62,61,2,0,4,0,,2022
Hannover 96,Werder Bremen,1-4,https://www.besoccer.com/match/hannover-96/werder-bremen/202216392,2022,18,2_liga,56,70,1,0,3,0,,2022
Jahn Regensburg,Darmstadt 98,0-2,https://www.besoccer.com/match/ssv-jahn-regensburg/darmstadt-98/202216393,2022,18,2_liga,55,62,1,0,2,0,,2022
Karlsruher SC,Hansa Rostock,2-2,https://www.besoccer.com/match/karlsruher-sc/hansa-rostock/202216399,2022,18,2_liga,60,55,1,0,2,0,,2022
Hansa Rostock,Hannover 96,0-1,https://www.besoccer.com/match/hansa-rostock/hannover-96/202216406,2022,19,2_liga,43,63,3,0,2,0,,2022
Dynamo Dresden,Hamburger SV,1-1,https://www.besoccer.com/match/sg-dynamo-dresden/hamburger-sv/202216401,2022,19,2_liga,50,73,2,0,0,0,,2022
Werder Bremen,Fortuna Düsseldorf,3-0,https://www.besoccer.com/match/werder-bremen/fortuna-dusseldorf/202216402,2022,19,2_liga,75,53,1,0,0,0,,2022
Nürnberg,Paderborn,1-2,https://www.besoccer.com/match/fc-nurnberg/paderborn/202216404,2022,19,2_liga,61,42,2,0,3,0,,2022
FC St. Pauli,Erzgebirge Aue,2-2,https://www.besoccer.com/match/st-pauli/fc-erzgebirge-aue/202216405,2022,19,2_liga,54,51,0,0,1,0,,2022
Darmstadt 98,Karlsruher SC,2-2,https://www.besoccer.com/match/darmstadt-98/karlsruher-sc/202216403,2022,19,2_liga,61,55,1,0,1,0,,2022
