Home_Team,City,Country,Stadium,Capacity,Pitch
Sheffield United,Sheffield,England,Bramall Lane,32702,Natural
Ipswich Town,Ipswich,England,Portman Road Stadium,30311,Natural
Sunderland,Sunderland,England,Stadium of Light,49000,Natural
Watford,Watford,England,Vicarage Road Stadium,19920,Natural
Newcastle,Newcastle upon Tyne,England,St. James' Park,52389,Natural
Port Vale,Stoke-on-Trent,England,Vale Park,19052,Natural
AFC Bournemouth,Bournemouth,England,Vitality Stadium,12000,Natural
Leeds United,Leeds,England,Elland Road,40204,Natural
Plymouth Argyle,Plymouth,England,Home Park,19500,Natural
Middlesbrough,Middlesbrough,England,Riverside Stadium,34988,Natural
Brighton Hove Alb.,Brighton,England,The American Express Community Stadium,30750,Natural
Barnsley,Barnsley,England,Oakwell Stadium,23009,Natural
Stoke City,Stoke-on-Trent,England,bet365 Stadium,28383,Natural
Oldham Athletic,Oldham,England,Boundary Park,13512,Natural
Leicester,Leicester,England,King Power Stadium,32500,Natural
Bradford City,Bradford,England,Coral Windows Stadium,25136,Natural
Hull City,Kingston upon Hull,England,Kingston Communications Stadium,25504,Natural
Portsmouth,Portsmouth,England,Fratton Park,20821,Natural
Wolves,Wolverhampton,England,Molineux Stadium,29195,Natural
Swindon Town,Swindon,England,County Ground,15728,Natural
Oxford United,Oxford,England,The Kassam Stadium,12500,Natural
West Bromwich Alb.,West Bromwich,England,The Hawthorns,28003,Natural
Bristol City,Bristol,England,Ashton Gate Stadium,21497,Natural
Sheffield,Sheffield,England,Hillsborough Stadium,39814,Natural
Notts County,Nottingham,England,Meadow Lane Stadium,19588,Natural
Millwall,London,England,The Den,20146,Natural
Bristol Rovers,Bristol,England,Memorial Stadium,11916,Natural
Charlton Athletic,London,England,The Valley,27111,Natural
Cambridge United,Cambridge,England,The R Costings Abbey Stadium,10847,Natural
Tranmere Rovers,Wirral,England,Prenton Park,16587,Natural
Derby County,Derby,England,iPro Stadium,33597,Natural
Grimsby Town,Grimsby,England,Blundell Park,9546,Natural
Southend United,Southend-on-Sea,England,Roots Hall Stadium,12392,Natural
Birmingham City,Birmingham,England,St. Andrew's Stadium,30009,Natural
